merged_id,n_buildings,n_dwellings,ref_area_m2_total,heat_kwh_yr_total,dhw_kwh_yr_total,pv_south_m2_total,pv_eastwest_m2_total,pv_flat_m2_total,pv_north_excluded_m2,ref_area_m2_mean,floor_count_mean,footprint_m2_mean,heat_kwh_m2a_mean,geom_quality_ok_share,status_unsurveyed_share,mixed_use_share,barnlike_share,has_pv_area_share,building_type,period,roof_key,roof_category,n_source_archetypes,pool_level
TH.01.c4.s0e1,104665,104665,11211846.0,1756896268.1999998,104665000.0,130100.23255018034,5328430.891393968,1338161.020053558,528275.7621586792,107.12125352314528,3.001490469593465,59.762462131188805,156.7,0.9732479816557588,0.0003248459370372,0.0,0.0,1.0,TH,01,s0e1,gabled,1,0
TH.01.c4.s1e0,90130,90130,9863767.0,1545652288.9,90130000.0,2104815.8108170843,669360.617771014,1339189.7700893134,2391851.91225233,109.43933207589038,3.001397980694552,61.74372195180666,156.7,0.974325973593698,0.0003328525463219,0.0,0.0,1.0,TH,01,s1e0,gabled,1,0
TH.02.c1.s0e1,100974,100974,11444601.0,1401963622.5,100974000.0,73120.70909966869,5695224.191326591,567790.5201339535,118877.99130107155,113.34205835165488,3.00169350525878,54.602321492246,122.5,0.9815893200229762,9.903539525026244e-05,0.0,0.0,1.0,TH,02,s0e1,gabled,1,0
TH.01.c0.s0e1,79115,79115,8926716.0,1398816397.1999998,79115000.0,98349.16590993416,4050356.942714488,1005830.9201176502,322527.56074785744,112.83215572268215,3.012614548442141,58.401222268324965,156.7,0.9816596094293116,0.0002022372495734,0.0,0.0,1.0,TH,01,s0e1,gabled,1,0
TH.01.c0.s1e0,64190,64190,7370299.0,1154925853.3,64190000.0,1480914.7708419662,402196.02256145456,1026528.430087097,1644017.0022335984,114.82004985200189,3.015796853092382,60.09041284951007,156.7,0.9810718180401932,0.000155787505842,0.0,0.0,1.0,TH,01,s1e0,gabled,1,0
TH.01.c4.s2e0,51269,51269,6599392.0,1034124726.4,51269000.0,1968692.4027230104,281443.28417268384,615250.0899661053,1639773.3307424493,128.7209034699331,3.002730694961868,71.29702236880753,156.7,0.9569720493865688,0.0005266340283602,0.0,0.0,1.0,TH,01,s2e0,gabled,1,0
TH.01.c5.s0e1,78218,78218,6574528.0,1030228537.6,78218000.0,76203.00754608946,3785317.587018874,583924.3500437923,190946.86162501687,84.05390063668209,1.9998838199984512,50.47747116832123,156.7,0.975031322713442,0.0003963282108977,0.0,0.0,1.0,TH,01,s0e1,gabled,1,0
TH.02.c1.s2e0,68275,68275,8348978.0,1022749805.0,68275000.0,2373430.4527129084,40571.30665946099,193006.1400710605,2148310.2678967128,122.28455510801903,3.0018601244965213,57.70328377451664,122.5,0.9833028194800442,7.323324789454412e-05,0.0,0.0,1.0,TH,02,s2e0,gabled,1,0
TH.02.c1.s1e0,68328,68328,7791095.0,954409137.5,68328000.0,1776078.780366339,182800.30069087943,481555.14991880767,2013860.687147011,114.02492389649925,3.00187331694181,55.80917266830183,122.5,0.9823498419388832,0.0001024470202552,0.0,0.0,1.0,TH,02,s1e0,gabled,1,0
TH.01.c1.s0e1,65822,65822,6028286.0,944632416.2,65822000.0,96795.11335454127,3273056.9234437207,864592.8801297694,307766.15244359965,91.5846677402692,1.9966807019700648,58.77146897374369,156.7,0.9380450305369026,0.0006228920421743,0.0,0.0,1.0,TH,01,s0e1,gabled,1,0
TH.01.c0.s2e0,44940,44940,5926485.0,928680199.5,44940000.0,1701665.5797695366,163992.2173115132,411384.5799125861,1441704.6740056204,131.87550066755674,3.026947040498442,65.6699521698419,156.7,0.9753671562082777,0.0004672897196261,0.0,0.0,1.0,TH,01,s2e0,gabled,1,0
TH.01.c1.s1e0,59855,59855,5570983.0,872973036.0999999,59855000.0,1363685.8953200928,424932.4974356161,876934.5601638649,1554020.8528285765,93.07464706373736,1.997868417045897,60.16863301727828,156.7,0.9357280093559436,0.000718402806783,0.0,0.0,1.0,TH,01,s1e0,gabled,1,0
TH.01.c5.s1e0,63830,63830,5379942.0,843036911.4,63830000.0,1433881.0789587293,279174.35124710645,612618.8099241368,1489460.140141195,84.28547704840985,1.9995242399733573,51.306900203136486,156.7,0.974416418611938,0.0003133322888923,0.0,0.0,1.0,TH,01,s1e0,gabled,1,0
TH.01.c4.s0e2,40105,40105,5358609.0,839694030.3,40105000.0,47906.329752240585,3148014.140962973,403073.010054946,152841.6703579328,133.61448697169928,3.0026679965091634,74.73190077294318,156.7,0.9450941279142252,0.0005236254831068,0.0,0.0,1.0,TH,01,s0e2,gabled,1,0
SFH.01.c5.s2e0,28748,28748,4940623.0,820637480.3,28748000.0,2227646.6797737703,176710.78255405236,309333.2499179188,2113583.1559793856,171.85971197996383,1.986543582460501,127.3517288072925,166.1,0.7637400862668707,0.0010087658271879,0.0,0.0091136774732155,1.0,SFH,01,s2e0,gabled,1,0
TH.01.c0.s0e2,37969,37969,5222026.0,818291474.1999999,37969000.0,34212.28448310892,2953863.1213214,296919.7701839693,113957.1924767371,137.53393557902498,3.023387500329216,69.78842872063635,156.7,0.9682635834496564,0.0003423845768916,0.0,0.0,1.0,TH,01,s0e2,gabled,1,0
TH.03.c5.s0e1,82505,82505,8534717.0,815918945.1999999,82505000.0,51438.178673139824,4612475.876839061,395485.1299763322,81638.55459249536,103.44484576692322,3.00030301193867,50.42134089210121,95.6,0.9692624689412764,1.2120477546815344e-05,0.0,0.0,1.0,TH,03,s0e1,gabled,1,0
TH.03.c3.s0e2,70159,70159,8227245.0,786524622.0,70159000.0,33736.10510454715,5425231.266727997,412388.5400021579,85428.12163622487,117.26571074274148,3.0001995467438247,65.317494261127,95.6,0.9288758391653243,0.0001425333884462,0.0,0.0,1.0,TH,03,s0e2,gabled,1,0
TH.03.c3.s2e0,68786,68786,8039562.0,768582127.1999999,68786000.0,2675661.461914208,204426.91800960535,512293.97009647824,2326170.3407694865,116.87788212717705,3.000174454104033,64.76505233433679,95.6,0.9337510539935452,0.0001163027360218,0.0,0.0,1.0,TH,03,s2e0,gabled,1,0
TH.02.c1.s0e2,48554,48554,6181598.0,757245755.0,48554000.0,7343.704939670644,3459656.765530809,122912.7100255452,10714.936063207158,127.31387733245458,3.0028833875684806,60.91641040507693,122.5,0.9825761008361824,0.00010297812744569999,0.0,0.0,1.0,TH,02,s0e2,gabled,1,0
TH.02.c3.s0e1,55419,55419,6108208.0,748255480.0,55419000.0,48101.53451814846,3090289.9343327754,428300.6899974849,113629.2504327562,110.218661469893,3.0000360887060395,57.09116042887486,122.5,0.9736372002381856,0.0001804435301972,0.0,0.0,1.0,TH,02,s0e1,gabled,1,0
TH.03.c5.s1e0,65400,65400,6731245.0,643507022.0,65400000.0,1665883.396575034,130523.77736290231,342822.73996158503,2065032.623406503,102.92423547400612,3.000581039755352,50.955452750407225,95.6,0.9684709480122324,4.587155963302752e-05,0.0,0.0,1.0,TH,03,s1e0,gabled,1,0
SFH.01.c5.s0e2,23389,23389,3847915.0,639138681.5,23389000.0,77777.20316487466,2797773.033048035,415359.87004775,183259.6229517156,164.5181495574843,1.9756949047682175,115.72514216938302,166.1,0.787549702851768,0.001325409380478,0.0,0.0065842917610842,1.0,SFH,01,s0e2,gabled,1,0
TH.03.c3.s0e1,58737,58737,6643659.0,635133800.4,58737000.0,61194.22975005328,3229970.993749516,753082.6298639718,260945.7364764172,113.10858572960824,3.0003575259206285,60.958036839743826,95.6,0.9610126496075728,0.0001702504383948,0.0,0.0,1.0,TH,03,s0e1,gabled,1,0
TH.03.c0.s0e2,51462,51462,6613128.0,632215036.8,51462000.0,21916.382740211862,3951321.7251019073,226255.3599306308,31947.17342733724,128.5050717033928,3.0016517041700674,65.3443463184549,95.59999999999998,0.9555983055458395,0.0001165908825929,0.0,0.0,1.0,TH,03,s0e2,gabled,1,0
SFH.03.c0.s2e0,33629,33629,6077430.0,630837234.0,33629000.0,2597338.823011736,136377.3683820146,350755.3599951286,2522873.3046423206,180.71991435963008,2.0,126.72861899797581,103.8,0.828540842725029,0.000416307353772,0.0,0.0087424544292128,1.0,SFH,03,s2e0,gabled,1,0
TH.02.c3.s2e0,43191,43191,5126698.0,628020505.0,43191000.0,1524609.665251394,39869.03937271818,164795.93004528247,1378632.265184627,118.69829362598688,3.0000926118867355,59.91556596867488,122.5,0.9765923456275613,6.94589150517469e-05,0.0,0.0,1.0,TH,02,s2e0,gabled,1,0
TH.03.c3.s1e0,55659,55659,6408717.0,612673345.1999999,55659000.0,1366953.7523305176,391013.01493374974,870040.1201735623,1742743.7729251324,115.14251064517867,3.0004132305646887,64.4698181792136,95.6,0.9558202626709068,0.0001616989166172,0.0,0.0,1.0,TH,03,s1e0,gabled,1,0
TH.01.c4.s1e1,28493,28493,3847010.0,602826467.0,28493000.0,577101.8622063389,1247292.984857321,626671.0301612802,369135.629823035,135.01596883445058,3.002175973046011,81.1370196322888,156.7,0.9330712806654266,0.0005615414312287,0.0,0.0,1.0,TH,01,s1e1,gabled,1,0
TH.01.c1.s2e0,35870,35870,3839621.0,601668610.6999999,35870000.0,1418969.4118158773,177339.16678094468,455650.15986222215,1222867.0740846095,107.04268190688596,1.996231120179092,72.55702787257849,156.7,0.8795929746306106,0.0006690827989963,0.0,0.0,1.0,TH,01,s2e0,gabled,1,0
TH.03.c5.s2e0,58584,58584,6121055.0,585172858.0,58584000.0,2224279.40276464,49759.2984983615,153509.09997930937,1734174.8491444276,104.48339136965724,3.0008193363375666,53.2616927891697,95.6,0.9502253174928308,5.120852109791069e-05,0.0,0.0,1.0,TH,03,s2e0,gabled,1,0
MFH.01.c4.s0e0,17706,59491,4570571.0,584118973.8,89236500.0,113930.78955580552,210168.2256970181,1331174.4599009026,161764.37021757587,258.1368462668022,4.64915847735231,94.7699920983284,127.79999999999998,0.9733988478481873,0.0003953462103241,0.0269964983621371,0.0,1.0,MFH,01,s0e0,gabled,1,0
TH.02.c3.s1e0,42715,42715,4730428.0,579477430.0,42715000.0,1086614.3934422994,192755.66072000744,432295.63989868574,1223131.8070269602,110.74395411447966,3.000046821959499,59.29477326211055,122.5,0.9737094697413089,9.364391899801008e-05,0.0,0.0,1.0,TH,02,s1e0,gabled,1,0
TH.03.c5.s0e2,57248,57248,5964657.0,570221209.1999999,57248000.0,12182.43798249417,4150618.319082416,98812.85993947648,14932.675785506935,104.18978828954724,3.000401760760201,54.30740061114126,95.6,0.931124231414198,6.987143655673561e-05,0.0,0.0,1.0,TH,03,s0e2,gabled,1,0
TH.01.c0.s0e0,29235,29235,3590787.0,562676322.9,29235000.0,110661.01185552512,355954.7661779454,1275981.630152611,306141.4636841044,122.82493586454592,3.031366512741577,65.5965083009548,156.7,0.9762613305968872,0.0004104669061056,0.0,0.0,1.0,TH,01,s0e0,gabled,1,0
SFH.01.c0.s0e3,11567,11567,3375671.0,560698953.1,11567000.0,43652.33029268024,2870356.61549184,115015.22006034853,110398.7432466092,291.8363447739258,1.998858848314607,206.83825621494023,166.1,0.7290567995158641,0.0010374340797095,0.0,0.4917437537823118,1.0,SFH,01,s0e3,gabled,1,0
TH.03.c0.s2e0,44176,44176,5649446.0,540087037.6,44176000.0,1709840.8960526509,79637.56149724186,275834.5499519594,1475460.9360047367,127.88496015936258,3.0021504889532777,64.19815533077401,95.6,0.95895961608113,6.791017747193045e-05,0.0,0.0,1.0,TH,03,s2e0,gabled,1,0
SFH.01.c5.s1e1,19200,19200,3233171.0,537029703.1,19200000.0,666213.0028160895,1033080.0155094666,571751.1201298591,665211.7035596418,168.39432291666665,1.9883285148302816,121.32488596707584,166.1,0.74671875,0.0010416666666666,0.0,0.00609375,1.0,SFH,01,s1e1,gabled,1,0
